"Nama","Harga","Diskon","Peringkat"
"LAPTOP LENOVO IP330 - AMD A9 9425 RAM 4GB 1TB ATI RADEON R5 14"" DOS","Rp 4.125.000","1%Rp 4.175.000","(35)"
"LAPTOP ASUS K403FA - i5 8265U 8GB SSD 512GB INTEL HD 14"" FHD W10 RESMI","Rp 9.549.000","9%Rp 10.499.000","(49)"
"LAPTOP ASUS A420UA - INTEL PENTIUM 4417U 4GB SSD 256GB 14"" W10 RESMI","Rp 5.099.000","6%Rp 5.399.000","(57)"
"Dell Inspiron 3476 [Ci3-7020U-4-1T-AMD-W10-BLK] DELL INDONESIA","Rp 6.749.000","5%Rp 7.099.000","(20)"
"LAPTOP ASUS X441UA-GA311T/312T - I3-7020U 4GB 1TB DVD 14"" W10","Rp 5.675.000","7%Rp 6.099.000","(36)"
"LAPTOP ASUS A409FJ-EK551T EK552T - i5 8265U 4GB 512GB MX230 2GB W10","Rp 8.399.000","3%Rp 8.699.000","(21)"
"LAPTOP ASUS X441MA-GA011T - N4000|RAM 4GB|HDD 1TB|DVD|14""|W10|BLACK","Rp 3.750.000","6%Rp 3.999.000","(33)"
"ACER SWIFT 3 AIR SF313-51 - I5-8250U DDR4 8GB SSD 256GB 13.3"" FHD W10","Rp 7.999.000","11%Rp 8.999.000","(7)"
"LAPTOP ASUS A412FA - i3 8145U 4GB SSD 512GB INTEL HD 14"" FHD W10 RESMI","Rp 6.749.000","10%Rp 7.499.000","(65)"
"LAPTOP ASUS A407MA - N4000|HDD 1TB|RAM 4GB|INTEL HD|14""|W10|SLIM!!!","Rp 3.750.000","3%Rp 3.880.000","(28)"
"PROMO LAPTOP ACER SWIFT 3 SF314-41 ATHLON 300U 8GB 256GB 14"" FHD WIN10","Rp 6.099.000","24%Rp 7.999.000","(24)"
"LAPTOP ACER ASPIRE 5 A514-52G - I5 10210U 4GB 1TB MX250 2GB 14"" WIN10","Rp 8.099.000","7%Rp 8.699.000","(9)"
"LAPTOP ASUS M409DA AMD RYZEN 3-3200U 8GB 1TB VEGA3 14"" FHD WINDOWS 10","Rp 6.149.000","12%Rp 6.999.000","(25)"
"LENOVO IP130 AMD A4-9125 4GB 500GB 14'' DVD WIN 10","Rp 3.340.000","9%Rp 3.675.000","(28)"
"PROMO LAPTOP ACER SWIFT 3 SF314-41 ATHLON 300U 8GB 512GB 14"" FHD WIN10","Rp 6.375.000","15%Rp 7.499.000","(16)"
"LAPTOP LENOVO AMD A9 RAM 8GB HDD 1TB RADEON R5 DOS","Rp 4.850.000","10%Rp 5.399.000","(18)"
"LAPTOP ASUS E402YA - AMD E2-7015 4GB 256GB SSD VGA AMD R2 14"" W10","Rp 3.525.000","5%Rp 3.699.000","(12)"
"LAPTOP ASUS A412FA - i5 8265U 8GB SSD 512GB INTEL HD 14"" FHD W10 RESMI","Rp 8.599.000","13%Rp 9.899.000","(42)"
